population	contig	mean_cov	med_cov
I24	3R_28	14.2880385783176	14.4
I24	3R_5	6.94147058823529	6.04
I24	4_2	13.6354135053111	14.12
I24	Contig119	10.9658024691358	9.04
I24	Contig79	11.6703488372093	10.535
I24	tig00057289	3.696	3.38
I24	X_1	13.6187496861662	13.78
I29	2L_1	16.5655947064843	16.495
I29	2R_21	16.5989500495586	16.66
I29	3L_1	16.226482998313	16.43
I29	3R_28	16.4080692980889	16.57
I29	3R_5	5.80098039215686	5.005
I29	4_2	16.5388391502276	17.195
I29	Contig119	9.14086419753086	8.54
I29	Contig79	8.04	8.075
I29	tig00057289	6.238	4.89
I29	X_1	15.5451199415699	15.77
I31	2L_1	12.5741782956554	12.55
I31	2R_21	12.6708000829818	12.77
I31	3L_1	12.3044486900673	12.42
I31	3R_28	12.5508322914806	12.66
I31	3R_5	5.37617647058824	3.705
I31	4_2	11.8222496206373	12.245
I31	Contig119	9.91	7.39
I31	Contig79	6.7006976744186	6.45
I31	tig00057289	3.208	3.12
I31	X_1	12.0415109670646	12.08
I33	2L_1	12.3063680342357	12.26
I33	2R_21	12.5264269414287	12.64
I33	3L_1	12.1252748927867	12.18
I33	3R_28	12.3579390962672	12.44
I33	3R_5	4.65823529411765	4.86
I33	4_2	11.4910432473445	11.6
I33	Contig119	8.28456790123457	7.01
I33	Contig79	7.24511627906977	6.87
I33	tig00057289	4.464	4.55
I33	X_1	11.7842051445918	11.82
I35	2L_1	12.6457828635222	12.57
I35	2R_21	12.6443549316553	12.78
I35	3L_1	12.3374569622569	12.44
I35	3R_28	12.5773080907305	12.69
I35	3R_5	3.6943137254902	3.245
I35	4_2	12.0568437025797	12.34
I35	Contig119	7.65296296296296	6.78
I35	Contig79	6.51174418604651	6.445
I35	tig00057289	3.812	3.26
I35	X_1	11.8292004656152	11.97
I38	2L_1	14.3720739138525	14.32
I38	2R_21	14.4182447041468	14.62
I38	3L_1	14.0731684315359	14.23
I38	3R_28	14.4293168422933	14.51
I38	3R_5	5.58049019607843	5.71
I38	4_2	13.4667792109256	13.915
I38	Contig119	10.6455555555556	8.92
I38	Contig79	9.22174418604651	8.445
I38	tig00057289	4.154	2.65
I38	X_1	13.6176936069203	13.69
N01	2L_1	12.6778677086241	12.47
N01	2R_21	12.3184270336307	12.3
N01	3L_1	12.5301180870308	12.45
N01	3R_28	12.3497156635113	12.35
N01	3R_5	6.21676470588235	5.61
N01	4_2	14.0476707132018	14.365
N01	Contig119	8.44691358024691	7.75
N01	Contig79	6.93837209302326	6.78
N01	tig00057289	3.838	4.84
N01	X_1	12.0472101887568	11.96
N02	2L_1	13.6344104102707	13.41
N02	2R_21	13.2570730470461	13.23
N02	3L_1	13.4306652303815	13.37
N02	3R_28	13.3075708162172	13.29
N02	3R_5	6.45421568627451	6.175
N02	4_2	15.0891426403642	15.365
N02	Contig119	9.43555555555556	7.76
N02	Contig79	8.96116279069767	8.995
N02	tig00057289	5.57	4.65
N02	X_1	12.9944356697784	12.81
N03	2L_1	12.4823930133036	12.29
N03	2R_21	12.115513910979	12.09
N03	3L_1	12.4026979126441	12.29
N03	3R_28	12.1835695659939	12.17
N03	3R_5	8.15901960784314	6.745
N03	4_2	13.5395182094082	13.84
N03	Contig119	7.33555555555556	6.94
N03	Contig79	7.47953488372093	7.325
N03	tig00057289	5.06	5.33
N03	X_1	11.8561874329537	11.81
N04	2L_1	12.760331658759	12.57
N04	2R_21	12.3668478436254	12.38
N04	3L_1	12.7418170362391	12.58
N04	3R_28	12.5358340775138	12.46
N04	3R_5	7.89401960784314	6.74
N04	4_2	14.2143702579666	14.605
N04	Contig119	10.7938271604938	6.95
N04	Contig79	7.95813953488372	7.68
N04	tig00057289	4.536	4.51
N04	X_1	12.1668961267204	12.05
N07	2L_1	12.3977821192669	12.19
N07	2R_21	12.0814051587027	12
N07	3L_1	12.2488099835369	12.19
N07	3R_28	12.1257765672442	12.05
N07	3R_5	6.53039215686274	6.595
N07	4_2	13.8673899848255	14.22
N07	Contig119	8.21456790123457	7.24
N07	Contig79	8.34127906976744	8.105
N07	tig00057289	5.198	4.43
N07	X_1	11.7989754182549	11.7
N10	2L_1	13.1564371104289	12.93
N10	2R_21	12.7658137980315	12.74
N10	3L_1	12.9584575516758	12.94
N10	3R_28	12.8304034649044	12.79
N10	3R_5	7.44245098039216	7.585
N10	4_2	14.7841388467375	15.065
N10	Contig119	11.4072839506173	7.97
N10	Contig79	8.65953488372093	8.815
N10	tig00057289	6.284	5.94
N10	X_1	12.4613395567526	12.37
N11	2L_1	12.1443676155921	11.93
N11	2R_21	11.7409443791347	11.71
N11	3L_1	11.9948027479116	11.91
N11	3R_28	11.795115377746	11.77
N11	3R_5	5.34539215686275	5.525
N11	4_2	13.4288770864947	13.75
N11	Contig119	9.90493827160494	6.98
N11	Contig79	6.84941860465116	6.665
N11	tig00057289	5.166	5.13
N11	X_1	11.5607748841668	11.44
N14	2L_1	12.2327307191367	12
N14	2R_21	11.9000235115137	11.83
N14	3L_1	12.1881721916221	12.1
N14	3R_28	11.9456963743526	11.89
N14	3R_5	5.58411764705882	4.49
N14	4_2	13.7270257966616	14.23
N14	Contig119	9.9037037037037	7.36
N14	Contig79	7.2796511627907	7.08
N14	tig00057289	4.298	4.79
N14	X_1	11.5095024307854	11.45
N15	2L_1	10.2326916457345	10.06
N15	2R_21	9.890290205841	9.86
N15	3L_1	10.1429033962724	10.1
N15	3R_28	9.98515770673334	9.95
N15	3R_5	7.15	5.935
N15	4_2	11.707655538695	11.89
N15	Contig119	8.55345679012346	5.5
N15	Contig79	6.55639534883721	6.62
N15	tig00057289	3.926	3.84
N15	X_1	9.72215803528633	9.63
N16	2L_1	12.7723325425621	12.5
N16	2R_21	12.4603888619966	12.35
N16	3L_1	12.4946712465194	12.48
N16	3R_28	12.4714888372924	12.41
N16	3R_5	5.895	5.29
N16	4_2	14.5162329286798	14.515
N16	Contig119	12.6297530864198	8.28
N16	Contig79	7.69779069767442	6.89
N16	tig00057289	5.666	5.93
N16	X_1	12.1275728665008	11.93
N17	2L_1	12.7162145315843	12.48
N17	2R_21	12.3984685245373	12.28
N17	3L_1	12.5886244182029	12.49
N17	3R_28	12.5390271477049	12.39
N17	3R_5	7.495	7.48
N17	4_2	14.2151403641882	14.5
N17	Contig119	9.8279012345679	8.16
N17	Contig79	8.59406976744186	8.215
N17	tig00057289	6.626	6.24
N17	X_1	12.0721005181111	11.94
N18	2L_1	12.6286110335845	12.39
N18	2R_21	12.2946852453726	12.21
N18	3L_1	12.5017969146969	12.4
N18	3R_28	12.3201489551706	12.27
N18	3R_5	6.50460784313726	5.87
N18	4_2	14.4137746585736	14.77
N18	Contig119	8.34481481481481	6.72
N18	Contig79	7.78988372093023	7.44
N18	tig00057289	4.792	4.17
N18	X_1	12.2533528861297	11.95
N19	2L_1	12.0643699413899	11.9
N19	2R_21	11.8190487057142	11.78
N19	3L_1	12.014645230788	11.93
N19	3R_28	11.8561811037685	11.8
N19	3R_5	6.83735294117647	6.125
N19	4_2	13.3275	13.62
N19	Contig119	10.1579012345679	7.52
N19	Contig79	6.52872093023256	6.045
N19	tig00057289	5.632	5.8
N19	X_1	11.5047152671581	11.41
N22	2L_1	12.2322599776723	12.11
N22	2R_21	12.0311907890187	11.97
N22	3L_1	12.1745525497449	12.13
N22	3R_28	12.107068226469	12.01
N22	3R_5	7.85088235294118	7.6
N22	4_2	13.6956714719272	13.995
N22	Contig119	10.4408641975309	8.08
N22	Contig79	7.6756976744186	7.55
N22	tig00057289	5.798	5.4
N22	X_1	11.7010964782142	11.63
N23	2L_1	12.7375776816448	12.51
N23	2R_21	12.3698499412212	12.33
N23	3L_1	12.6185051116847	12.55
N23	3R_28	12.4386126093945	12.38
N23	3R_5	6.44343137254902	5.875
N23	4_2	14.1208497723824	14.525
N23	Contig119	10.62	8.15
N23	Contig79	9.22186046511628	8.645
N23	tig00057289	4.44	4.55
N23	X_1	12.0976625659051	12.01
N25	2L_1	11.7219148292864	11.5
N25	2R_21	11.3659170642879	11.32
N25	3L_1	11.6041606877909	11.5
N25	3R_28	11.4545277728166	11.38
N25	3R_5	5.175	4.94
N25	4_2	13.0033345978756	13.32
N25	Contig119	9.28938271604938	7.54
N25	Contig79	8.17186046511628	7.835
N25	tig00057289	5.398	5.12
N25	X_1	11.2346901604547	11.04
T04	2L_1	12.3611749930226	12.22
T04	2R_21	12.0905635848143	12.08
T04	3L_1	12.1788089672974	12.19
T04	3R_28	12.1375338453295	12.11
T04	3R_5	4.80676470588235	3.87
T04	4_2	13.843251138088	14.065
T04	Contig119	9.6337037037037	7.05
T04	Contig79	5.33325581395349	5.03
T04	tig00057289	4.7	4.98
T04	X_1	11.840228242759	11.68
T05	2L_1	12.9317552795609	12.8
T05	2R_21	12.6134232302976	12.6
T05	3L_1	12.9118247596594	12.81
T05	3R_28	12.6476147526344	12.64
T05	3R_5	5.14225490196078	4.94
T05	4_2	15.0619537177542	15.31
T05	Contig119	11.8425925925926	8.1
T05	Contig79	8.31116279069767	9.47
T05	tig00057289	5.574	4.88
T05	X_1	12.1328094401205	12.04
T07	2L_1	13.0306165689832	12.81
T07	2R_21	12.69066224097	12.68
T07	3L_1	12.8419912196907	12.85
T07	3R_28	12.7333580996607	12.75
T07	3R_5	5.76950980392157	4.965
T07	4_2	14.6145637329287	15.045
T07	Contig119	11.2513580246914	8.73
T07	Contig79	6.64697674418605	6.4
T07	tig00057289	6.234	6.23
T07	X_1	12.2873300162052	12.22
T09	2L_1	12.4675137222067	12.31
T09	2R_21	12.2189770186479	12.21
T09	3L_1	12.3342795878133	12.33
T09	3R_28	12.2694418646187	12.28
T09	3R_5	7.15049019607843	6.85
T09	4_2	14.2188922610015	14.24
T09	Contig119	8.10493827160494	7.02
T09	Contig79	9.11220930232558	7.945
T09	tig00057289	4.312	4.32
T09	X_1	11.7430175975167	11.75
T10	2L_1	12.6612884919527	12.58
T10	2R_21	12.3997047230482	12.43
T10	3L_1	12.6135974878559	12.58
T10	3R_28	12.5071521700304	12.52
T10	3R_5	5.87627450980392	5.64
T10	4_2	13.7614871016692	14.285
T10	Contig119	9.6816049382716	7.52
T10	Contig79	6.27895348837209	5.97
T10	tig00057289	8.682	8.81
T10	X_1	12.1150779449022	12.03
T14A	2L_1	13.3083542655131	13.18
T14A	2R_21	13.0385724823087	13.05
T14A	3L_1	13.2435239121156	13.2
T14A	3R_28	13.0911289515985	13.08
T14A	3R_5	7.08637254901961	6.76
T14A	4_2	14.5178679817906	15.065
T14A	Contig119	11.1520987654321	8.43
T14A	Contig79	8.42744186046512	8.57
T14A	tig00057289	15.078	14.29
T14A	X_1	12.6637568758131	12.62
T22A	2L_1	11.4699446460136	11.37
T22A	2R_21	11.2636825484637	11.23
T22A	3L_1	11.3528525842971	11.35
T22A	3R_28	11.2867601357385	11.25
T22A	3R_5	8.42117647058824	7.365
T22A	4_2	12.8922192716237	13.11
T22A	Contig119	8.28691358024691	6.67
T22A	Contig79	6.47232558139535	5.97
T22A	tig00057289	7.806	5.61
T22A	X_1	10.9025426243352	10.84
T29A	2L_1	13.2789759512513	13.12
T29A	2R_21	12.9540658783394	12.87
T29A	3L_1	13.1787670982297	13.1
T29A	3R_28	13.0471403822111	13.02
T29A	3R_5	6.17843137254902	5.73
T29A	4_2	14.9627579666161	15.33
T29A	Contig119	10.1603703703704	7.92
T29A	Contig79	6.57872093023256	6.58
T29A	tig00057289	5.368	4.82
T29A	X_1	12.6232383082647	12.58
T30	2L_1	12.9991429435296	12.85
T30	2R_21	12.6178327916465	12.59
T30	3L_1	12.7854905388102	12.76
T30	3R_28	12.6818403286301	12.67
T30	3R_5	5.64843137254902	5.375
T30	4_2	14.5023558421851	14.79
T30	Contig119	9.73037037037037	7.29
T30	Contig79	5.99244186046512	5.93
T30	tig00057289	6.026	6.59
T30	X_1	12.2964259466368	12.21
T35	2L_1	11.7651109405526	11.59
T35	2R_21	11.4545746029551	11.38
T35	3L_1	11.6497554927745	11.59
T35	3R_28	11.4996243972138	11.49
T35	3R_5	5.1193137254902	4.165
T35	4_2	13.2212860394537	13.405
T35	Contig119	7.72061728395062	6.5
T35	Contig79	8.29151162790698	8.195
T35	tig00057289	5.306	4.91
T35	X_1	11.1224666194965	11.05
T36B	2L_1	12.9882037863987	12.76
T36B	2R_21	12.6211361593251	12.57
T36B	3L_1	12.8434407837239	12.78
T36B	3R_28	12.6226626183247	12.61
T36B	3R_5	5.30127450980392	3.925
T36B	4_2	14.6181980273141	15.105
T36B	Contig119	8.63851851851852	6.76
T36B	Contig79	5.31767441860465	5.095
T36B	tig00057289	3.942	3.9
T36B	X_1	12.2294613470888	12.16
T39	2L_1	11.114279933017	11.03
T39	2R_21	11.0337678353272	11.1
T39	3L_1	10.9577232170078	10.99
T39	3R_28	11.0147172709412	11.04
T39	3R_5	4.36970588235294	4.52
T39	4_2	11.0629969650986	11.18
T39	Contig119	8.13123456790123	7
T39	Contig79	7.42941860465116	7.38
T39	tig00057289	5.8	5.25
T39	X_1	10.4254547736973	10.5
ZH23	2L_1	12.1644911154526	12.06
ZH23	2R_21	12.019633958002	11.97
ZH23	3L_1	12.1256448039674	12.17
ZH23	3R_28	12.0864216824433	12.07
ZH23	3R_5	7.62225490196078	5.6
ZH23	4_2	14.1083649468892	14.27
ZH23	Contig119	9.5179012345679	7.88
ZH23	Contig79	7.24732558139535	7.01
ZH23	tig00057289	6.548	5.22
ZH23	X_1	11.6841556159131	11.62
ZH26	2L_1	12.5456521536887	12.41
ZH26	2R_21	12.211072539935	12.18
ZH26	3L_1	12.3957476474055	12.35
ZH26	3R_28	12.2674020360779	12.25
ZH26	3R_5	6.48862745098039	5.54
ZH26	4_2	14.3040857359636	14.675
ZH26	Contig119	8.07827160493827	7.26
ZH26	Contig79	8.22651162790698	8.29
ZH26	tig00057289	6.272	6.38
ZH26	X_1	11.7992947298747	11.74
ZH33	2L_1	12.595107451856	12.74
ZH33	2R_21	12.8470184173524	13.17
ZH33	3L_1	12.3279453669641	12.54
ZH33	3R_28	12.7272712984462	12.98
ZH33	3R_5	3.69245098039216	2.895
ZH33	4_2	10.7030462822458	10.64
ZH33	Contig119	8.03222222222222	7.44
ZH33	Contig79	6.68988372093023	6.48
ZH33	tig00057289	4.618	4.34
ZH33	X_1	11.9336304293246	12.22
ZH42	2L_1	14.2613705926133	14.31
ZH42	2R_21	14.2545338035636	14.49
ZH42	3L_1	13.9885225910042	14.21
ZH42	3R_28	14.1996470798357	14.43
ZH42	3R_5	4.79549019607843	4.4
ZH42	4_2	13.6245068285281	13.96
ZH42	Contig119	9.16851851851852	8.54
ZH42	Contig79	6.30151162790698	6.63
ZH42	tig00057289	5.228	5.52
ZH42	X_1	13.4496354963139	13.72
ZS10	2L_1	12.2857156479673	12.36
ZS10	2R_21	12.3398192840514	12.52
ZS10	3L_1	11.9994963517002	12.28
ZS10	3R_28	12.2297151277014	12.44
ZS10	3R_5	2.84	2.19
ZS10	4_2	11.7158877086495	11.625
ZS10	Contig119	7.01691358024691	7.01
ZS10	Contig79	5.33825581395349	4.975
ZS10	tig00057289	3.984	3.75
ZS10	X_1	11.5997646817155	11.8
ZW09	2L_1	12.9426802493255	12.9
ZW09	2R_21	12.7332243044511	12.9
ZW09	3L_1	12.6595479766671	12.86
ZW09	3R_28	12.785800321486	12.93
ZW09	3R_5	4.87529411764706	4.185
ZW09	4_2	13.1591691957511	13.665
ZW09	Contig119	7.36283950617284	7.45
ZW09	Contig79	6.06651162790698	5.405
ZW09	tig00057289	3.962	3.7
ZW09	X_1	12.0518925889576	12.22
ZW139	2L_1	13.4139082705368	13.4
ZW139	2R_21	13.2613081160823	13.49
ZW139	3L_1	13.1919044328367	13.32
ZW139	3R_28	13.258616181461	13.45
ZW139	3R_5	3.62803921568627	2.83
ZW139	4_2	13.1412139605463	13.61
ZW139	Contig119	8.81567901234568	8.15
ZW139	Contig79	5.8593023255814	5.885
ZW139	tig00057289	4.588	4.28
ZW139	X_1	12.4473005728893	12.59
ZW140	2L_1	13.2548776630384	13.42
ZW140	2R_21	13.1213154922435	13.33
ZW140	3L_1	13.1587425052336	13.32
ZW140	3R_28	13.2256636899446	13.39
ZW140	3R_5	3.68245098039216	3.2
ZW140	4_2	13.2843854324734	14.085
ZW140	Contig119	8.05432098765432	7.29
ZW140	Contig79	7.44802325581395	7.675
ZW140	tig00057289	4.43	3.46
ZW140	X_1	12.418794421747	12.61
ZW142	2L_1	13.2769662294167	13.29
ZW142	2R_21	13.0477620266003	13.25
ZW142	3L_1	13.1035997235829	13.2
ZW142	3R_28	13.1703918556885	13.33
ZW142	3R_5	6.43019607843137	4.99
ZW142	4_2	13.3543702579666	13.925
ZW142	Contig119	7.37246913580247	7.88
ZW142	Contig79	7.56313953488372	7.655
ZW142	tig00057289	5.114	2.5
ZW142	X_1	12.4645984068655	12.65
ZW155	2L_1	13.1180191180575	13.17
ZW155	2R_21	12.9295878569947	13.15
ZW155	3L_1	12.8734789943294	13.04
ZW155	3R_28	12.9974902661189	13.18
ZW155	3R_5	4.88803921568627	3.495
ZW155	4_2	12.8181069802731	13.44
ZW155	Contig119	8.5620987654321	7.29
ZW155	Contig79	5.92104651162791	5.58
ZW155	tig00057289	3.84	3.71
ZW155	X_1	12.2983139707393	12.47
ZW177	2L_1	13.0738989673458	13.08
ZW177	2R_21	13.003892538552	13.04
ZW177	3L_1	12.8503934879372	12.93
ZW177	3R_28	12.8761455617074	13.01
ZW177	3R_5	4.60166666666667	4.36
ZW177	4_2	13.3151251896813	13.56
ZW177	Contig119	7.44876543209877	6.91
ZW177	Contig79	6.04848837209302	6.39
ZW177	tig00057289	6.276	4.74
ZW177	X_1	12.2935729121494	12.39
ZW184	2L_1	13.2057263466369	13.12
ZW184	2R_21	13.2489920014752	13.4
ZW184	3L_1	12.897167943741	13.01
ZW184	3R_28	13.1164390069655	13.25
ZW184	3R_5	5.43490196078431	4.84
ZW184	4_2	12.1885887708649	12.355
