population	centromere	mean_cov	med_cov
69	cent	5.56419708029197	1.865
69	eu	15.2110096672955	15.68
705	cent	11.3275912408759	8.27
705	eu	19.5171134657317	19.24
707	cent	8.20558394160584	6.255
707	eu	20.2629656035863	19.49
712	cent	8.25631386861314	5.905
712	eu	18.5313837550784	17.51
714	cent	8.12328467153285	5.365
714	eu	18.631647935669	17.47
727	cent	14.4659489051095	11.855
727	eu	27.4539853541104	26.55
737	cent	15.7290875912409	13.185
737	eu	22.6716303320323	22.43
738	cent	12.7474087591241	11.485
738	eu	26.0248675525903	25.87
748	cent	27.7882846715328	27.54
748	eu	51.1053265915746	51.61
75	cent	9.73098540145985	6.845
75	eu	21.1692313218693	19.82
757	cent	16.7899635036496	15.1
757	eu	24.4322079329801	24.37
761	cent	5.80003649635036	3.17
761	eu	15.3961190073061	15.3
765	cent	5.68671532846715	3.525
765	eu	18.4791029707712	16.71
774	cent	19.837700729927	18.06
774	eu	34.5287169091543	34.68
787	cent	7.26521897810219	5.07
787	eu	15.2435790420093	15.24
790	cent	13.3121532846715	10.98
790	eu	16.5843627609561	16.23
799	cent	9.81018248175183	6.73
799	eu	17.8076444737605	16.74
801	cent	34.705802919708	28.38
801	eu	46.3857046286221	46.29
802	cent	39.4140875912409	34.015
802	eu	55.2283039589276	54.93
804	cent	7.32894160583942	4.75
804	eu	15.8957664724245	15.9
808	cent	27.8344160583942	26.11
808	eu	55.7757391216668	56.4
812	cent	6.80248175182482	3.6
812	eu	16.9999275267941	16.93
819	cent	42.1804744525547	40.945
819	eu	82.9102375020482	85.08
821	cent	65.7340510948905	54.75
821	eu	116.953714913515	117.91
822	cent	17.8020437956204	13.58
822	eu	18.5156985786849	17.96
837	cent	13.766496350365	12.51
837	eu	20.241305484016	20.24
843	cent	23.9340145985401	20.985
843	eu	48.9199752540764	49.24
849	cent	29.6910948905109	27.02
849	eu	45.0509869380176	45.28
850	cent	22.4442335766423	20.075
850	eu	50.5851128271272	50.81
853	cent	33.0577737226277	30.285
853	eu	66.8635054344401	66.97
855	cent	13.8602919708029	11.42
855	eu	20.5307898108974	20.05
857	cent	16.1545255474453	13.405
