source	population	centromere	mean_cov	med_cov
DGRP	528	eu	41.16962264	41.4
DGRP	530	cent	14.61569343	13.9
DGRP	530	eu	22.85985031	22.88
DGRP	531	cent	13.70521898	11.335
DGRP	531	eu	17.81864406	17.26
DGRP	551	cent	12.3459854	12.085
DGRP	551	eu	23.34141644	23.48
DGRP	555	cent	12.02259124	9.39
DGRP	555	eu	21.94711128	21.79
DGRP	559	cent	13.14521898	12.37
DGRP	559	eu	26.40852243	26.08
DGRP	566	cent	36.97536496	29.88
DGRP	566	eu	56.42966772	56.52
DGRP	57	cent	16.34317518	13.125
DGRP	57	eu	32.49713439	26.42
DGRP	584	cent	42.40854015	35.7
DGRP	584	eu	58.02716397	57.85
DGRP	589	cent	4.917445255	2.125
DGRP	589	eu	13.79603674	13.64
DGRP	596	cent	24.74470803	21.08
DGRP	596	eu	46.84457581	47.2
DGRP	627	cent	25.46145985	24.2
DGRP	627	eu	53.93707049	54.22
DGRP	630	cent	11.97364964	10.76
DGRP	630	eu	25.81064865	25.53
DGRP	634	cent	10.38010949	9.215
DGRP	634	eu	21.7750938	21.56
DGRP	639	cent	8.139233577	6.1
DGRP	639	eu	18.0729141	17.52
DGRP	69	cent	5.56419708	1.865
DGRP	69	eu	15.21100967	15.68
DGRP	705	cent	11.32759124	8.27
DGRP	705	eu	19.51711347	19.24
DGRP	707	cent	8.205583942	6.255
DGRP	707	eu	20.2629656	19.49
DGRP	712	cent	8.256313869	5.905
DGRP	712	eu	18.53138376	17.51
DGRP	714	cent	8.123284672	5.365
DGRP	714	eu	18.63164794	17.47
DGRP	727	cent	14.46594891	11.855
DGRP	727	eu	27.45398535	26.55
DGRP	737	cent	15.72908759	13.185
DGRP	737	eu	22.67163033	22.43
DGRP	738	cent	12.74740876	11.485
DGRP	738	eu	26.02486755	25.87
DGRP	748	cent	27.78828467	27.54
DGRP	748	eu	51.10532659	51.61
DGRP	75	cent	9.730985401	6.845
DGRP	75	eu	21.16923132	19.82
DGRP	757	cent	16.7899635	15.1
DGRP	757	eu	24.43220793	24.37
DGRP	761	cent	5.800036496	3.17
DGRP	761	eu	15.39611901	15.3
DGRP	765	cent	5.686715328	3.525
DGRP	765	eu	18.47910297	16.71
DGRP	774	cent	19.83770073	18.06
DGRP	774	eu	34.52871691	34.68
DGRP	787	cent	7.265218978	5.07
DGRP	787	eu	15.24357904	15.24
DGRP	790	cent	13.31215328	10.98
DGRP	790	eu	16.58436276	16.23
DGRP	799	cent	9.810182482	6.73
DGRP	799	eu	17.80764447	16.74
DGRP	801	cent	34.70580292	28.38
DGRP	801	eu	46.38570463	46.29
DGRP	802	cent	39.41408759	34.015
DGRP	802	eu	55.22830396	54.93
DGRP	804	cent	7.328941606	4.75
DGRP	804	eu	15.89576647	15.9
DGRP	808	cent	27.83441606	26.11
DGRP	808	eu	55.77573912	56.4
DGRP	812	cent	6.802481752	3.6
DGRP	812	eu	16.99992753	16.93
DGRP	819	cent	42.18047445	40.945
DGRP	819	eu	82.9102375	85.08
DGRP	821	cent	65.73405109	54.75
DGRP	821	eu	116.9537149	117.91
DGRP	822	cent	17.8020438	13.58
DGRP	822	eu	18.51569858	17.96
DGRP	837	cent	13.76649635	12.51
DGRP	837	eu	20.24130548	20.24
DGRP	843	cent	23.9340146	20.985
DGRP	843	eu	48.91997525	49.24
DGRP	849	cent	29.69109489	27.02
DGRP	849	eu	45.05098694	45.28
DGRP	850	cent	22.44423358	20.075
DGRP	850	eu	50.58511283	50.81
DGRP	853	cent	33.05777372	30.285
DGRP	853	eu	66.86350543	66.97
DGRP	855	cent	13.86029197	11.42
DGRP	855	eu	20.53078981	20.05
DGRP	857	cent	16.15452555	13.405
DGRP	857	eu	22.41046114	22.09
DGRP	882	cent	7.57270073	4.665
DGRP	882	eu	17.77476063	17.72
DGRP	887	cent	8.229562044	7.33
DGRP	887	eu	19.32113672	19.21
DGRP	892	cent	3.777445255	1.67
DGRP	892	eu	21.98651255	21.88
DGRP	894	cent	12.86127737	11.11
DGRP	894	eu	16.11789034	15.66
DGRP	897	cent	10.24989051	6.825
DGRP	897	eu	24.39211555	24.77
DGRP	900	cent	39.32164234	33.63
DGRP	900	eu	59.11761981	59.28
DGRP	907	cent	14.99832117	12.875
DGRP	907	eu	17.50715413	17.36
DGRP	908	cent	18.8840146	13.9
DGRP	908	eu	19.27656826	18.94
DGRP	913	cent	32.07883212	28.785
DGRP	913	eu	48.71020003	49.06
DGRP	93	cent	5.91810219	3.345
DGRP	93	eu	15.37888895	15.51
DSPR	A1	cent	32.26481752	24.13
DSPR	A1	eu	54.52492587	54.33
DSPR	A2	cent	38.46945255	32.505
DSPR	A2	eu	67.30949382	67.32
DSPR	A3	cent	32.5799635	17.78
DSPR	A3	eu	63.89259257	63.79
DSPR	A4	cent	20.62678832	21.92
DSPR	A4	eu	66.40719182	66.64
DSPR	A5	cent	23.06277372	17.865
DSPR	A5	eu	62.26458047	62.08
DSPR	A6	cent	34.56875912	28.915
DSPR	A6	eu	64.15921611	64.27
DSPR	A7	cent	30.23452555	26.405
DSPR	A7	eu	66.05792865	65.48
DSPR	AB8	cent	34.59364964	29.515
DSPR	AB8	eu	68.3620945	68.56
DSPR	B1	cent	39.78412409	28.47
DSPR	B1	eu	64.74618493	64.22
DSPR	B2	cent	37.41186131	28.18
DSPR	B2	eu	68.14725413	68.51
DSPR	B3	cent	31.86375912	25.135
DSPR	B3	eu	68.08386288	67.97
DSPR	b3841ST	cent	25.03485401	22.125
DSPR	b3841ST	eu	56.08715086	56.75
DSPR	B4	cent	35.94237226	31.72
DSPR	B4	eu	61.60192846	61.56
DSPR	B5	cent	37.76361314	25.005
DSPR	B5	eu	67.28435696	66.76
DSPR	B6	cent	29.0529927	25.385
DSPR	B6	eu	69.79043181	70.34
DSPR	B7	cent	41.51923358	34.12
DSPR	B7	eu	71.06841063	70.36
DSPR	t0XSAM	cent	30.42149635	23.58
DSPR	t0XSAM	eu	51.6802104	52.06
DSPR	t0XSS	cent	31.61828467	23.72
DSPR	t0XSS	eu	53.5187588	53.93
GDL	B04	cent	6.552956204	3.865
GDL	B04	eu	14.20139896	14.23
GDL	B05	cent	8.453540146	5.965
GDL	B05	eu	13.93131973	13.99
GDL	B10	cent	8.228649635	6.015
GDL	B10	eu	14.047567	13.97
GDL	B11	cent	7.649744526	5.54
GDL	B11	eu	13.41324487	13.43
GDL	B12	cent	9.175437956	6.53
GDL	B12	eu	14.58772951	14.65
GDL	B14	cent	7.730255474	5.99
GDL	B14	eu	13.40493469	13.46
GDL	B23	cent	7.159233577	4.985
GDL	B23	eu	12.52350443	12.55
GDL	B28	cent	8.196094891	7.045
GDL	B28	eu	13.87405968	13.88
GDL	B38	cent	7.19350365	6.145
GDL	B38	eu	13.79029872	13.92
GDL	B42	cent	6.610474453	6.02
GDL	B42	eu	13.44921973	13.54
GDL	B43	cent	6.380145985	4.99
GDL	B43	eu	13.21009777	13.28
GDL	B51	cent	7.895912409	6.765
GDL	B51	eu	12.58262147	12.62
GDL	B52	cent	5.941569343	4.355
GDL	B52	eu	13.9398364	14.01
GDL	B54	cent	8.183394161	6.425
GDL	B54	eu	14.34245073	14.36
GDL	B59	cent	8.557737226	6.85
GDL	B59	eu	10.8992509	10.61
GDL	I01	cent	7.963905109	6.72
GDL	I01	eu	15.20908091	15.09
GDL	I02	cent	10.61543796	9.2
GDL	I02	eu	15.08958621	15.07
GDL	I03	cent	7.702445255	7.115
GDL	I03	eu	15.55767485	15.6
