X,Contig119|48518-51184|+|,Contig119|64539-66223|-|,Contig135|287659-289934|+|,Contig135|291044-293318|+|,Contig135|294667-296933|+|,Contig135|297803-302075|+|,Contig150|100731-103199|+|,Contig49|19050-23354|+|,Contig5|323601-327901|-|,tig00057289|6506-7863|+|,X_10|112770-113091|-|,Y_Contig26|124571-125838|+|,Y_Contig26|126053-127299|+|,Y_Contig26|128500-130879|+|,Y_Contig26|27741-32059|-|,Y_Contig26|33198-33434|+|,Y_Contig26|34026-34351|+|,Y_Contig26|73643-77222|+|,Y_Contig26|79294-83324|+|,Y_Contig26|83322-86727|-|,Y_Contig26|93293-97591|-|,Y_scaffold5|346794-348945|+|,Y_scaffold7|19020-23280|+|,Y_scaffold7|689715-692269|+|,Y_scaffold7|693863-696430|+|,Y_scaffold7|698009-700579|+|,Y_scaffold7|702162-706449|+|,Contig79|17073-17147|+|,Contig79|20114-20260|+|,Contig79|28845-28919|+|,Contig79|30822-30968|+|,Contig79|35004-35150|+|,Contig79|40081-41084|-|,Contig79|13180-14145|-|,Contig79|31198-31264|+|,Y_Contig26|123164-124356|+|,Contig119|44821-45358|-|,Y_Contig26|11454-12015|+|,Y_Contig26|18596-22715|+|,Y_Contig26|6763-8366|+|,Y_Contig20|256751-260792|-|,Y_Contig20|263466-267507|-|,Y_Contig20|268099-271863|-|,Contig135|328888-330523|-|,Contig5|367183-370181|-|,Contig5|113171-116983|+|,Contig5|70367-74180|+|,X_10|42102-45815|-|,3_scaffold1|82591-83966|-|,Y_Contig26|88263-91914|-|,2L_1|20193357-20194686|-|,2L_1|20248093-20249401|-|,Y_Contig26|36446-39903|-|,2R_18|665527-668929|-|,Y_Contig26|12013-15383|+|,Y_Contig20|261387-262514|-|,Y_Contig17|75693-79024|+|,Contig11|34119-37421|+|,Contig5|307437-308188|+|,Contig5|479945-481134|+|,X_10|113057-113960|-|,Contig119|58079-59406|-|,Y_scaffold5|341448-344514|+|,2L_1|20255613-20258690|-|,3R_28|3954385-3957417|-|,Contig79|12677-13182|-|,Y_Contig10|241546-242605|-|,Y_Contig10|248772-249888|-|,Y_Contig10|312110-314979|+|,Y_Contig10|321604-322552|+|,Y_Contig10|340997-343846|+|,Y_Contig10|362894-363983|+|,Y_Contig10|386824-387768|+|,2R_20|1269356-1269409|+|,Y_Contig70|11173-13687|+|,Y_Contig70|16541-18423|+|,3R_5|68541-68648|+|,2R_18|692028-692215|+|,Y_Contig70|14560-16179|-|,Y_Contig70|9233-10811|-|,Contig119|60219-60370|+|,Y_Contig26|24030-26576|-|,Y_Contig26|127278-128104|+|,Y_Contig26|33429-33578|+|,2L_1|11365843-11368214|+|,Contig79|42511-44652|-|,Contig119|35128-35454|+|,Contig79|5655-6019|+|,Contig119|60368-60772|+|,Contig119|43705-44031|-|,Contig79|42282-42514|+|,Contig79|7187-7419|-|,Contig79|10829-12679|-|,2R_21|21088229-21090148|+|,3_scaffold1|80781-82605|-|,Y_Contig26|2254-2689|+|,Y_Contig70|5613-6048|+|,2L_1|20193280-20193360|-|,2L_1|20247564-20248096|-|,Contig119|42718-43720|-|,X_7|135043-136795|-|,Contig150|103194-104919|+|,3R_5|19683-20286|-|,3R_5|46496-48181|-|,3R_5|52818-54474|-|,tig00022795|13724-14327|+|,tig00022795|28713-29723|+|,Y_Contig26|100315-101150|-|,Y_Contig26|116339-117458|-|,Y_Contig26|122318-123015|+|,Y_Contig26|34816-35402|-|,Y_Contig26|40804-42451|-|,Y_Contig26|43408-43603|-|,Y_Contig26|43612-45220|-|,Y_Contig26|46362-47070|-|,Y_Contig26|48018-49139|-|,Y_Contig26|51159-52825|-|,Y_Contig26|53318-54286|-|,Y_Contig26|54779-55747|-|,Y_Contig26|56699-57824|-|,Y_Contig26|60475-61078|-|,Y_Contig26|62074-63185|-|,Y_Contig26|64225-65893|-|,Y_Contig26|66860-68529|-|,Y_Contig26|72051-72654|-|,Y_Contig26|77946-79030|-|,Y_Contig26|97601-97958|-|,Y_Contig26|34349-34653|-|,3R_5|68215-68413|+|,Y_Contig26|50097-51127|-|,2R_20|1275288-1276850|+|,Y_Contig26|58779-59720|-|,Y_Contig26|70314-71296|-|,Contig5|372018-373428|-|,Y_scaffold5|349853-351307|+|,Contig119|35446-36118|+|,Contig119|60764-62054|+|,Contig79|6011-7190|+|,Y_Contig26|87593-88264|-|,Y_Contig26|92623-93294|-|,Contig79|27908-28004|-|,Contig79|34049-34144|-|,Contig79|37931-38026|-|,Contig95|3782-5075|+|,Contig95|752-2033|+|,Contig79|19315-19382|-|,Y_Contig26|2693-3880|+|,Y_Contig70|6052-6495|+|,Y_Contig26|40562-40805|-|,2L_1|20152818-20153306|-|,2L_2|121852-122992|+|,2R_20|1819963-1821059|-|,2L_1|13650159-13651288|-|,2L_1|20246960-20247585|-|,Y_Contig26|113043-113592|-|,Y_Contig10|363986-365070|+|,3R_5|68414-68544|-|,Contig119|44016-44827|-|,3L_1|21345681-21346585|+|,Y_Contig10|322542-323409|+|,Y_Contig10|387758-388616|+|,Y_scaffold4|1846105-1846969|+|,Y_scaffold4|1888313-1889091|+|,Y_Contig26|60197-60475|-|,Y_Contig26|71773-72051|-|,Y_Contig26|69496-70277|-|,Y_Contig26|40384-40571|-|,Y_Contig26|100126-100335|-|,Y_Contig70|18421-18965|+|,Y_Contig26|46188-46363|-|,2L_1|20153302-20154005|+|,tig00057289|6095-6377|-|,2L_1|20259992-20260192|+|,3R_5|19275-19684|-|,tig00022795|14326-14753|+|,Y_Contig26|101479-101592|+|,Y_Contig26|117800-118401|+|,Y_Contig26|35843-36446|+|,Y_Contig26|42794-43405|+|,Y_Contig26|45563-46188|+|,Y_Contig26|47397-48018|+|,Y_Contig26|49482-50096|+|,Y_Contig26|53154-53319|+|,Y_Contig26|54615-54780|+|,Y_Contig26|56076-56698|+|,Y_Contig26|58153-58778|+|,Y_Contig26|61450-62073|+|,Y_Contig26|63514-64115|+|,Y_Contig26|66222-66824|+|,Y_Contig26|68858-69460|+|,Y_Contig26|72983-73557|+|,Y_Contig26|98287-98400|+|,Contig119|42262-42723|-|,Y_Contig26|105307-105852|+|,Y_Contig26|111755-112271|+|,Y_Contig26|114422-114936|+|,Y_Contig70|6500-7022|+|,Y_Contig70|7027-7415|+|,Y_Contig26|102079-102610|+|,Y_Contig26|102769-103325|+|,Y_Contig26|103325-103856|-|,Y_Contig26|104013-104543|-|,Y_Contig26|104833-105170|+|,Y_Contig26|106043-106598|-|,Y_Contig26|106887-107443|+|,Y_Contig26|107575-107880|+|,Y_Contig26|108160-108609|+|,Y_Contig26|108984-109538|+|,Y_Contig26|109670-109975|+|,Y_Contig26|110254-110703|+|,Y_Contig26|111002-111476|-|,Y_Contig26|112794-112887|-|,Y_Contig26|113586-114142|-|,Y_Contig26|114936-115496|-|,Y_Contig26|115629-116183|-|,Y_Contig26|40077-40225|-|,Y_Contig26|59715-60042|-|,Y_Contig26|71292-71618|-|,Y_Contig26|86773-87290|-|,Y_Contig26|91905-92319|-|,Y_Contig26|98884-99438|+|,Y_Contig26|112271-112827|-|,Y_Contig26|77259-77790|-|,Y_Contig26|99438-99968|-|,tig00002845|0-301|+|,Contig119|57527-58081|-|,3R_9|0-555|+|,Contig119|64034-64542|-|,Y_Contig74|53704-54187|-|,Y_Contig74|64194-64676|+|,Y_scaffold4|1659846-1660307|+|,Y_Contig4|562869-562903|+|,Y_Contig4|82537-82571|-|,X_3|0-433|+|,Y_Contig26|124355-124521|-|,Y_Contig26|125837-126003|-|,Y_Contig26|128102-128450|-|,Y_Contig122|52027-52420|-|,Y_Contig26|108604-108907|-|,Y_Contig26|110698-111001|-|,Contig119|51181-51440|-|,Contig119|52691-53059|-|,Contig119|54312-54683|-|,Contig119|55924-56293|-|,Y_scaffold4|1281133-1281490|+|,Y_scaffold4|1285370-1285728|+|,Y_Contig26|101591-101946|+|,Y_Contig26|98399-98751|+|,2L_1|20260177-20260507|+|,2L_1|20246641-20246968|-|,Y_Contig26|39911-40080|+|,Y_Contig26|123016-123170|-|,3R_5|69211-69514|+|,Y_Contig26|10832-11129|+|,Y_Contig26|17973-18271|+|,Y_Contig26|6146-6438|+|,3_scaffold1|2058318-2058624|-|,Contig119|31824-32097|-|,tig00051078|5939-6207|-|,Contig79|19244-19315|-|,Contig79|27850-27921|-|,Y_scaffold4|1127623-1127830|+|,Y_scaffold4|1155351-1155554|+|,Y_scaffold4|1250817-1251027|+|,Y_scaffold4|1159151-1159352|+|,Y_Contig26|33553-33722|+|,Y_Contig26|101946-102083|-|,Y_Contig26|102610-102773|-|,Y_Contig26|103852-104013|+|,Y_Contig26|104539-104700|+|,Y_Contig26|104700-104837|-|,Y_Contig26|105185-105322|-|,Y_Contig26|106594-106754|+|,Y_Contig26|106754-106891|-|,Y_Contig26|107443-107579|-|,Y_Contig26|108005-108164|-|,Y_Contig26|108908-108988|-|,Y_Contig26|109538-109674|-|,Y_Contig26|110100-110258|-|,Y_Contig26|111472-111633|+|,Y_Contig26|111633-111770|-|,Y_Contig26|112883-113043|+|,Y_Contig26|114138-114300|+|,Y_Contig26|114300-114437|-|,Y_Contig26|115492-115629|+|,Y_Contig26|116179-116339|+|,Y_Contig26|40221-40384|+|,Y_Contig26|60038-60197|+|,Y_Contig26|71614-71773|+|,Y_Contig26|87286-87423|+|,Y_Contig26|92315-92452|+|,Y_Contig26|98751-98888|-|,Y_Contig26|105913-106043|+|,Y_Contig26|77793-77946|+|,Y_Contig26|99971-100126|+|,Contig119|62301-62418|+|,Y_Contig26|107885-108005|+|,Y_Contig26|109980-110100|+|,Y_Contig26|87423-87552|-|,Y_Contig26|92452-92581|-|,3L_1|17053255-17053379|+|,3L_1|21752657-21752768|+|,Y_scaffold4|2589422-2589550|-|,Y_Contig70|7715-7822|+|,tig00002845|303-406|+|,3R_5|19174-19274|-|,tig00022795|14754-14853|+|,tig00022795|29724-29782|+|
Y_Contig26|122318-123015|+|,0.0588537116,NA,NA,NA,NA,0.0466089818,NA,0.0322519386,0.0413002887,NA,NA,NA,NA,NA,0.0292606956,NA,NA,0.0307526871,0.0370270423,0.0292579176,0.0292606956,NA,0.0344222126,NA,NA,NA,0.0292579176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0352504753,NA,0.0277681572,0.0277681572,0.0307577027,NA,0.0459410352,0.0277681572,0.0277681572,0.0307510130,NA,0.0292606956,NA,NA,0.0292606956,0.0233143473,0.0352504719,NA,0.0277681572,0.0262817151,NA,NA,NA,NA,0.0308370267,0.0278904555,0.0307510130,NA,NA,NA,0.0247985750,NA,0.0218356034,NA,NA,NA,0.0384907250,0.0339870878,NA,NA,0.0296199591,0.0302357575,NA,0.0322592053,0.0216243806,NA,0.0352555479,0.0356390469,NA,NA,NA,NA,NA,NA,0.0473765734,0.0352555479,0.0292579176,0.0424240687,0.0424240687,NA,0.0416179933,0.0564846652,0.0262800608,0.0322519386,0.0529091954,0.0420960122,0.0410414939,0.0445188962,0.0564494309,0.0458620335,0.0537027131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|34816-35402|-|,0.0314395783,NA,NA,NA,NA,0.0713628369,NA,0.0569004515,0.0680669453,NA,NA,NA,NA,NA,0.0513848356,NA,NA,0.0550588288,0.0620915255,0.0495507819,0.0513848356,NA,0.0597781497,NA,NA,NA,0.0513958088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569175734,NA,0.0513848356,0.0513848356,0.0532163394,NA,0.0647911073,0.0513848356,0.0513848356,0.0550681997,NA,0.0513848356,NA,NA,0.0550588288,0.0477418322,0.0587591961,NA,0.0513848356,0.0495507819,NA,NA,NA,NA,0.0529343753,0.0516595515,0.0532239644,NA,NA,NA,0.0477217724,NA,0.0459144023,NA,NA,NA,0.0660131442,0.0640368570,NA,NA,0.0588562964,0.0600347244,NA,0.0495600160,0.0217425560,NA,0.0587488825,0.0644088578,NA,NA,NA,NA,NA,NA,0.0643670964,0.0606033116,0.0532239644,0.0572194358,0.0572194358,NA,0.0834355536,0.0948039039,0.0569338800,0.0569004515,0.0885161104,0.0774195632,0.0741840612,0.0803858417,0.0840263713,0.0643485247,0.0608271775,0.0432522633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|40804-42451|-|,0.0383550900,NA,NA,NA,NA,0.0440631377,NA,0.0165764171,0.0444187442,NA,NA,NA,NA,NA,0.0209346164,NA,NA,0.0167008960,0.0210305754,0.0154949624,0.0159568384,NA,0.0170259119,NA,NA,NA,0.0261548816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0215615759,NA,0.0148064476,0.0148064476,0.0156782223,NA,0.0435477058,0.0122434654,0.0122434654,0.0148454217,NA,0.0153363913,NA,NA,0.0178216579,0.0259457106,0.0184400639,NA,0.0141071226,0.0128646681,NA,NA,NA,NA,0.0163173707,0.0142456693,0.0159568384,NA,NA,NA,0.0246949262,NA,0.0240639362,NA,NA,NA,0.0440306897,0.0424461485,NA,NA,0.0404468071,0.0411798546,NA,0.0215709525,0.0216243806,NA,0.0171967646,0.0445739279,NA,NA,NA,NA,NA,NA,0.0373616354,0.0184400639,0.0166390473,0.0370036571,0.0370036571,NA,0.0633973797,0.0736424407,0.0343779733,0.0165764171,0.0652926212,0.0286937618,0.0286659096,0.0579459071,0.0637855754,0.0569754343,0.0603803982,0.0401589483,0.0663412054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|43408-43603|-|,0.0791941055,NA,NA,NA,NA,0.0869073782,NA,0.0368450364,0.0813781727,NA,NA,NA,NA,NA,0.0368450364,NA,NA,0.0423095716,0.0310935516,0.0368450364,0.0368450364,NA,0.0476287900,NA,NA,NA,0.0476573691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0422294383,NA,0.0368450364,0.0368450364,0.0368450364,NA,0.0890116713,0.0368450364,0.0368450364,0.0422294383,NA,0.0368450364,NA,NA,0.0422294383,0.0422294383,0.0477239991,NA,0.0368450364,0.0368450364,NA,NA,NA,NA,0.0368450364,0.0374363450,0.0422294383,NA,NA,NA,0.0422294383,NA,0.0368450364,NA,NA,NA,0.0590848136,0.0590848136,NA,NA,0.0590848136,0.0627978218,NA,0.0423095716,0.0000000000,NA,0.0367946022,0.0448038750,NA,NA,NA,NA,NA,NA,0.0698834136,0.0368450364,0.0368450364,0.0422294383,0.0422294383,NA,0.0868330384,0.1202715322,0.0755977615,0.0368450364,0.0877050491,0.0877050491,0.0877050491,0.0819927290,0.0877578895,0.0531822872,0.0703267175,0.0709189370,0.0543990830,0.0534667770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|43612-45220|-|,0.0483794537,NA,NA,NA,NA,0.0419299361,NA,0.0138254103,0.0409922588,NA,NA,NA,NA,NA,0.0170035513,NA,NA,0.0109796331,0.0173924866,0.0101120070,0.0119250708,NA,0.0142093934,NA,NA,NA,0.0242943779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170032471,NA,0.0114372824,0.0114372824,0.0125448514,NA,0.0385164742,0.0106623418,0.0106623418,0.0114651914,NA,0.0112928592,NA,NA,0.0144598276,0.0246935204,0.0151739363,NA,0.0100358252,0.0112925596,NA,NA,NA,NA,0.0134977688,0.0102029282,0.0132162010,NA,NA,NA,0.0234230366,NA,0.0227728460,NA,NA,NA,0.0433595789,0.0374066298,NA,NA,0.0333198462,0.0340125652,NA,0.0176556783,0.0217425560,NA,0.0144603310,0.0394879836,NA,NA,NA,NA,NA,NA,0.0342603140,0.0150951517,0.0131976612,0.0256856543,0.0256856543,NA,0.0512600966,0.0669125978,0.0326712988,0.0125583831,0.0600694298,0.0247534245,0.0258104692,0.0538147261,0.0629821830,0.0495743323,0.0582688589,0.0384390807,0.0580898159,0.0168220685,0.0478344897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|46362-47070|-|,0.0901925261,NA,NA,NA,NA,0.0738279457,NA,0.0511443423,0.0618067205,NA,NA,NA,NA,NA,0.0466290247,NA,NA,0.0496383171,0.0550781761,0.0481368145,0.0466290247,NA,0.0561087818,NA,NA,NA,0.0466290247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0542024845,NA,0.0466290247,0.0466290247,0.0496320368,NA,0.0652593337,0.0466290247,0.0466290247,0.0496480378,NA,0.0466290247,NA,NA,0.0496383171,0.0436439413,0.0541793125,NA,0.0466290247,0.0451246512,NA,NA,NA,NA,0.0476209515,0.0468338272,0.0496480378,NA,NA,NA,0.0451246512,NA,0.0421440165,NA,NA,NA,0.0614725765,0.0614725765,NA,NA,0.0640872062,0.0652677234,NA,0.0496320368,0.0682288337,NA,0.0541729555,0.0575518571,NA,NA,NA,NA,NA,NA,0.0649123505,0.0541729555,0.0481368145,0.0799355866,0.0799355866,NA,0.0836585867,0.0879134283,0.0541891518,0.0511443423,0.0820482940,0.0645723286,0.0629963126,0.0782746912,0.0868065646,0.0496291862,0.0512897021,0.0481369662,0.0644508372,0.0633681000,0.0758796336,0.0496246440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|48018-49139|-|,0.0791941055,NA,NA,NA,NA,0.0619517612,NA,0.0469442285,0.0555357327,NA,NA,NA,NA,NA,0.0469395093,NA,NA,0.0452547659,0.0531712853,0.0408185871,0.0469395093,NA,0.0498684963,NA,NA,NA,0.0417547518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0478855843,NA,0.0440958582,0.0440958582,0.0459970011,NA,0.0588136416,0.0440958582,0.0440958582,0.0459880343,NA,0.0459918472,NA,NA,0.0459918472,0.0393743878,0.0497987386,NA,0.0440958582,0.0403224167,NA,NA,NA,NA,0.0465832786,0.0442177581,0.0459880343,NA,NA,NA,0.0393746086,NA,0.0393743878,NA,NA,NA,0.0619135940,0.0496555678,NA,NA,0.0470538584,0.0479092415,NA,0.0488929879,0.0444737430,NA,0.0488479086,0.0577327491,NA,NA,NA,NA,NA,NA,0.0594926202,0.0488479086,0.0484492228,0.0560967869,0.0560967869,NA,0.0719229480,0.0803381681,0.0502520432,0.0469442285,0.0781599689,0.0591364711,0.0590648747,0.0707003033,0.0797770592,0.0495291265,0.0470206816,0.0458544987,0.0477217664,0.0543101650,0.0588976484,0.0488409452,0.0406379878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|51159-52825|-|,0.0789032175,NA,NA,NA,NA,0.0552100720,NA,0.0262741837,0.0516150563,NA,NA,NA,NA,NA,0.0287638417,NA,NA,0.0390923377,0.0396613537,0.0398141491,0.0256539142,NA,0.0269832288,NA,NA,NA,0.0365961944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300079305,NA,0.0237928196,0.0237928196,0.0289043214,NA,0.0542079590,0.0287712036,0.0287712036,0.0250921433,NA,0.0250342191,NA,NA,0.0287672332,0.0363092111,0.0268984035,NA,0.0238073453,0.0244192126,NA,NA,NA,NA,0.0236914321,0.0232706529,0.0262741837,NA,NA,NA,0.0350685138,NA,0.0344278418,NA,NA,NA,0.0561576166,0.0529523495,NA,NA,0.0571788610,0.0582257551,NA,0.0300395597,0.0217425560,NA,0.0268984035,0.0552527541,NA,NA,NA,NA,NA,NA,0.0509834459,0.0281450295,0.0258878861,0.0560409871,0.0560409871,NA,0.0661299694,0.0842958663,0.0429057391,0.0256539142,0.0838418482,0.0410404921,0.0399742703,0.0763183400,0.0814125765,0.0483145286,0.0539618835,0.0520722961,0.0587591453,0.0370348822,0.0477239991,0.0336223279,0.0406909195,0.0461813705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|53318-54286|-|,0.0684861741,NA,NA,NA,NA,0.0597930320,NA,0.0414153622,0.0513029622,NA,NA,NA,NA,NA,0.0392319526,NA,NA,0.0414126852,0.0495784887,0.0385191893,0.0414126852,NA,0.0445427257,NA,NA,NA,0.0392316566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0446949753,NA,0.0381446984,0.0381446984,0.0403257269,NA,0.0540567731,0.0392340234,0.0392340234,0.0403209817,NA,0.0403224656,NA,NA,0.0425046886,0.0359746121,0.0446976745,NA,0.0381446984,0.0348935205,NA,NA,NA,NA,0.0385281439,0.0382663631,0.0403209817,NA,NA,NA,0.0359731423,NA,0.0359746121,NA,NA,NA,0.0530853042,0.0466472948,NA,NA,0.0487205360,0.0496070459,NA,0.0414638675,0.0000000000,NA,0.0436032692,0.0559864707,NA,NA,NA,NA,NA,NA,0.0613244660,0.0436032692,0.0416645309,0.0521313967,0.0521313967,NA,0.0631763693,0.0787766241,0.0468903685,0.0414153622,0.0762689870,0.0587934468,0.0587014852,0.0688338995,0.0775934245,0.0457879542,0.0360612063,0.0490534240,0.0495600160,0.0520316248,0.0422294383,0.0478882569,0.0318582317,0.0359731423,0.0210412759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|54779-55747|-|,0.0684861741,NA,NA,NA,NA,0.0586627667,NA,0.0403257269,0.0501982906,NA,NA,NA,NA,NA,0.0381446984,NA,NA,0.0403224656,0.0484411509,0.0373212125,0.0403224656,NA,0.0433975666,NA,NA,NA,0.0381438129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0435987822,NA,0.0370592125,0.0370592125,0.0392378652,NA,0.0528398548,0.0381473522,0.0381473522,0.0392319526,NA,0.0392340234,NA,NA,0.0414126852,0.0348908908,0.0436032692,NA,0.0370592125,0.0338133017,NA,NA,NA,NA,0.0374004228,0.0371773308,0.0392319526,NA,NA,NA,0.0348900117,NA,0.0348908908,NA,NA,NA,0.0519439878,0.0466472948,NA,NA,0.0487205360,0.0496070459,NA,0.0403736227,0.0000000000,NA,0.0425106529,0.0548273431,NA,NA,NA,NA,NA,NA,0.0602043312,0.0425106529,0.0405087836,0.0521313967,0.0521313967,NA,0.0631763693,0.0775778389,0.0457917682,0.0403257269,0.0762689870,0.0576631685,0.0575294833,0.0688338995,0.0775934245,0.0445136593,0.0349780338,0.0475179090,0.0495600160,0.0508858202,0.0422294383,0.0466859243,0.0318582317,0.0348900117,0.0199793413,0.0010338592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_Contig26|56699-57824|-|,0.0684861741,NA,NA,NA,NA,0.0649540978,NA,0.0488805354,0.0584718553,NA,NA,NA,NA,NA,0.0498345079,NA,NA,0.0442367113,0.0571712597,0.0396729702,0.0498345079,NA,0.0518946355,NA,NA,NA,0.0446754177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0527081019,NA,0.0469773564,0.0469773564,0.0488803082,NA,0.0564308376,0.0469773564,0.0469773564,0.0488821266,NA,0.0488805354,NA,NA,0.0507898487,0.0422514233,0.0527018969,NA,0.0469773564,0.0431843009,NA,NA,NA,NA,0.0485891424,0.0471075750,0.0488821266,NA,NA,NA,0.0422462740,NA,0.0422514233,NA,NA,NA,0.0609090285,0.0512233983,NA,NA,0.0537775258,0.0547595775,NA,0.0517926059,0.0000000000,NA,0.0507887066,0.0597811527,NA,NA,NA,NA,NA,NA,0.0644166504,0.0507887066,0.0504884975,0.0521313967,0.0521313967,NA,0.0688998170,0.0839123825,0.0522324186,0.0488805354,0.0837667907,0.0650745094,0.0631648770,0.0762620320,0.0867453239,0.0470064487,0.0461135180,0.0505172902,0.0513958088,0.0593332485,0.0422294383,0.0550614985,0.0377815520,0.0384805974,0.0329585230,0.0156615316,0.0146063919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
